Namespace(barcodes='/Users/akim/Desktop/uST_barcodes_trim.tsv', directory='', dont_build_reference=True, fiveprimemismatches=1, ignore_no_match=False, ignore_space_warning=False, inputfastq='/Users/akim/Desktop/4000.fq.gz', outputprefix='local2', sbatchcompression=False, threads=2, trim_sequences=None, ultra=False)
Demultiplexing...
Demultiplexing complete! 1000 reads processed in 46.0 seconds
         144059 function calls (140604 primitive calls) in 48.213 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       23    0.000    0.000    0.000    0.000 enum.py:419(_get_mixins_)
       19    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
      235    0.000    0.000    0.000    0.000 typing.py:1089(__eq__)
       11    0.000    0.000    0.001    0.000 tempfile.py:157(__next__)
        1    0.000    0.000    0.000    0.000 hmac.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
       41    0.000    0.000    0.001    0.000 sre_parse.py:828(fix_flags)
        6    0.000    0.000    0.000    0.000 numeric.py:2446(extend_all)
      108    0.000    0.000    0.001    0.000 re.py:169(match)
        1    0.000    0.000   46.252   46.252 __main__.py:267(run)
      215    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
        6    0.000    0.000   46.210    7.702 queues.py:91(get)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
       97    0.000    0.000    0.000    0.000 enum.py:28(_is_dunder)
      100    0.000    0.000    0.001    0.000 typing.py:342(_type_vars)
       50    0.000    0.000    0.000    0.000 _internal.py:781(_ufunc_doc_signature_formatter)
       26    0.000    0.000    0.001    0.000 core.py:6755(getdoc)
        1    0.000    0.000    0.020    0.020 shutil.py:5(<module>)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
       13    0.000    0.000    0.001    0.000 argparse.py:1307(add_argument)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
       10    0.000    0.000    0.000    0.000 connection.py:117(__init__)
       54    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       16    0.000    0.000    0.000    0.000 sre_compile.py:376(_mk_bitmap)
    59/52    0.000    0.000    0.000    0.000 typing.py:1083(_subs_tree)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:231(_add_array_type)
        1    0.000    0.000    0.020    0.020 linalg.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
       10    0.000    0.000    0.005    0.001 glob.py:39(_iglob)
        8    0.000    0.000    0.000    0.000 enum.py:114(__prepare__)
       14    0.000    0.000    0.015    0.001 hashlib.py:116(__get_openssl_constructor)
        9    0.000    0.000    0.000    0.000 datetime.py:356(__new__)
        1    0.000    0.000    0.009    0.009 npyio.py:1(<module>)
      401    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        5    0.000    0.000    0.000    0.000 connection.py:501(Pipe)
